luc_class,region,rock_type,soil,slope,erosion,vegetation
7e 1,NLD,Vo,MNH,E    +F,2W 2Sh1G,M 1 n 1 p 2
8e 1,NLD,Wb,BRock,A    +B,5W,p 6
6e 7,NLD,Sb+Mj,OFH,E    +D,1Sh,P 1 m 1
6e 2,NLD,Vo,MNH,E,2Sh,M 1 n3a
8e 1,NLD,Wb,BRock,A    +D,5W,p 6
7e10,NLD,Wb,BRock,D    +C,2W,M 1
2w 1,NLD,Al,MF,A,0,P 1
3w 1,NLD,Al,WFm,A    +B,0,P 1 m 1
8s 1,NLD,Vo,TES,G,1Da1Sh,N3a N 5 n 2 m 6
6e14,NLD,Us/Li,HKfH,E    +D,1Sh1T,P 1 m 1 n 6
7e 4,GEC,Mm,@NZSC,F    +G,1Ss1G,refer gecveg
estu,NLD,estu,estu,estu,estu,estu
7e20,SI,Fy,46bH,E    +D,0,N3a n 4
5c 1,NLD,(Us)/Li,AYf,D,0,P 1
6e15,NLD,Wb,PNH,B    +C,1W,P 2 M 1
town,NLD,town,town,town,town,town
3e 3,NLD,Us,RLl,C    +B,1Sh,P 1
6e 4,NLD,Vo/Sm+Ac,YOH,D    +E,1Sh,M 1 P 1 n 6
4e 3+6s 2,NLD,Vo,BM,C    +D,1T,P 1 m 1
6e17,NLD,Gw,MRH,F    +E,0,M 1 m 8
lake,SI,lake,lake,lake,lake,lake
7e 6,NLD,Gw,TRS,F,1Da,N3a M 6
6e16,NLD,Vo,TES,E    +F,0,N3a
7e 1,NLD,Vo,TErS,F    +G,0,N 2 N3a
6e 9,NLD,Gw',MRH,D    +E,1Ss1Sh,P 1 m 1
4e 7,NLD,Gw'+(Us),MR,C    +D,1G,P 1 n3a
6e 7,NLD,Sm,YCeH,D    +E,2T 1Sh,P 1 n 7 n3a n 6
7e 1,NLD,Vo'+Vo,TErS,F    +G,0,N3a
6e 5,BOP,Mo/Ft,19H,E,0,N 6
6e 8,NLD,Sm'+Sm,YCH,F    +D,1Ss1G 1Sh,P 2 p 1 m 8 m 1
2w 2,NLD,Al,YU,A,1Sh,P 1 h 2
estu,NLD,estu,estu,estu,estu,M12
4e 2,TMU,Mo,66,C    +D,0,P 1
6e 9,BOP,Kt/Mo/Vo,ToiH,E,0,M 1 m 6
7w 2,SI,Pt/Al,87a,A,0,H 2 m 8
7e10,NLD,Wb/Us,PN,B    +C,0,N 6
6e15,NLD,Wb,PNH,D,1W,M 1 m 6
6e14,NLD,Ar'+(Us)/Ar,YK,D,1Sh,P 1
8e 3,NLD,Gw,TRS,G,1Sh,N 1
4e 9,NLD,Us,HO,C,1G,P 1 m 1
7w 1,WKO,Al,2,A,1D,N 8 H 1
